Ano;Qtde Metro cúbico (mil)
1958;1319.0
1959;1693.0
1960;667.0
1961;1214.0
1962;343.0
1963;415.0
1964;0.0
1965;0.0
1966;0.0
1967;0.0
1968;0.0
1969;0.0
1970;76.0
1971;890.0
1972;1228.0
1973;998.0
1974;774.0
1975;1257.0
1976;3336.0
1977;1573.0
1978;281.0
1979;0.0
1980;70.0
1981;856.0
1982;1281.0
1983;59.0
1984;0.0
1985;0.0
1986;0.0
1987;0.0
1988;216.0
1989;0.0
1990;0.0
1991;0.0
1992;0.0
1993;0.0
1994;0.0
1995;780.0
1996;120.0
1997;148.0
1998;0.0
1999;34.0
2000;1084.0
2001;6428.0
2002;13635.0
2003;14030.0
2004;13395.0
2005;15930.2814880532
2006;21357.0
2007;24454.189
2008;25137.5104733076
2009;30503.0
2010;36645.2395337815
2011;35080.0
2012;30951.16
2013;23045.652
2014;30112.417
2015;42753.341
2016;49172.086
2017;60473.245
2018;62544.316
2019;71276.828
2020;79556.757
2021;72640.239
2022;78091.619
