Ano;Qtde Metro cúbico (mil)
1935;3.0
1936;15.0
1937;44.0
1938;55.0
1939;49.0
1940;57.0
1941;53.0
1942;13.0
1943;42.0
1944;21.0
1945;12.0
1946;42.0
1947;10.0
1948;0.0
1949;0.0
1950;13.0
1951;23.0
1952;20.0
1953;35.0
1954;164.0
1955;4052.0
1956;5639.0
1957;5590.0
1958;6520.0
1959;6623.0
1960;6556.0
1961;8707.0
1962;11489.0
1963;11966.0
1964;12461.0
1965;11819.0
1966;13059.0
1967;12179.0
1968;14446.0
1969;15422.0
1970;20848.0
1971;23732.0
1972;30032.0
1973;40890.0
1974;40261.0
1975;41683.0
1976;47828.0
1977;47330.0
1978;52275.0
1979;58197.0
1980;50564.0
1981;49026.0
1982;46291.0
1983;42321.0
1984;37791.0
1985;31629.0
1986;34872.0
1987;35882.0
1988;37165.0
1989;34336.0
1990;33121.0
1991;30510.0
1992;30748.0
1993;29487.0
1994;32061.0
1995;29209.0
1996;33095.0
1997;33341.0
1998;31933.0
1999;27289.0
2000;23109.0
2001;24243.0
2002;22165.0
2003;19885.0
2004;26162.0
2005;19916.336222805
2006;19421.0
2007;24120.0
2008;22122.1
2009;21761.7
2010;19658.5258602347
2011;19258.0
2012;20017.099
2013;22890.565
2014;20317.226
2015;17277.1702698546
2016;8988.337
2017;8407.427204
2018;10804.965
2019;9972.387
2020;9746.876
2021;8133.621
2022;14280.089
